Week Ending Date,Metric,Category,Waiting Bands,Count
2021-11-14T00:00:00.000Z,Sex,Female,18 To 52 Weeks,932945
2021-11-14T00:00:00.000Z,Sex,Female,Over 52 Weeks,159350
2021-11-14T00:00:00.000Z,Sex,Female,Total,3030555
2021-11-14T00:00:00.000Z,Sex,Male,Unknown Clock Start,4660
2021-11-14T00:00:00.000Z,Sex,Male,01 To 18 Weeks,1479040
2021-11-14T00:00:00.000Z,Sex,Male,18 To 52 Weeks,713115
2021-11-14T00:00:00.000Z,Sex,Male,Over 52 Weeks,133520
2021-11-14T00:00:00.000Z,Sex,Male,Total,2330335
2021-11-21T00:00:00.000Z,Age,0-18 Years,Unknown Clock Start,745
2021-11-21T00:00:00.000Z,Age,0-18 Years,01 To 18 Weeks,400750
2021-11-21T00:00:00.000Z,Age,0-18 Years,18 To 52 Weeks,185845
2021-11-21T00:00:00.000Z,Age,0-18 Years,Over 52 Weeks,26935
2021-11-21T00:00:00.000Z,Age,0-18 Years,Total,614280
2021-11-21T00:00:00.000Z,Age,19-64 Years,Unknown Clock Start,9760
2021-11-21T00:00:00.000Z,Age,19-64 Years,01 To 18 Weeks,1888660
2021-11-21T00:00:00.000Z,Age,19-64 Years,18 To 52 Weeks,996925
2021-11-21T00:00:00.000Z,Age,19-64 Years,Over 52 Weeks,184235
2021-11-21T00:00:00.000Z,Age,19-64 Years,Total,3079580
2021-11-21T00:00:00.000Z,Age,Over 65 Years,Unknown Clock Start,5630
2021-11-21T00:00:00.000Z,Age,Over 65 Years,01 To 18 Weeks,1196005
2021-11-21T00:00:00.000Z,Age,Over 65 Years,18 To 52 Weeks,539265
2021-11-21T00:00:00.000Z,Age,Over 65 Years,Over 52 Weeks,97000
2021-11-21T00:00:00.000Z,Age,Over 65 Years,Total,1837905
2021-11-21T00:00:00.000Z,Sex,Female,Unknown Clock Start,9605
2021-11-21T00:00:00.000Z,Sex,Female,01 To 18 Weeks,1939600
2021-11-21T00:00:00.000Z,Sex,Female,18 To 52 Weeks,947950
2021-11-21T00:00:00.000Z,Sex,Female,Over 52 Weeks,163330
2021-11-21T00:00:00.000Z,Sex,Female,Total,3060485
2021-11-21T00:00:00.000Z,Sex,Male,Unknown Clock Start,6475
2021-11-21T00:00:00.000Z,Sex,Male,01 To 18 Weeks,1483960
2021-11-21T00:00:00.000Z,Sex,Male,18 To 52 Weeks,722420
2021-11-21T00:00:00.000Z,Sex,Male,Over 52 Weeks,135630
2021-11-21T00:00:00.000Z,Sex,Male,Total,2348480
2021-11-28T00:00:00.000Z,Age,0-18 Years,Unknown Clock Start,840
2021-11-28T00:00:00.000Z,Age,0-18 Years,01 To 18 Weeks,407810
2021-11-28T00:00:00.000Z,Age,0-18 Years,18 To 52 Weeks,186535
2021-11-28T00:00:00.000Z,Age,0-18 Years,Over 52 Weeks,26775
2021-11-28T00:00:00.000Z,Age,0-18 Years,Total,621965
2021-11-28T00:00:00.000Z,Age,19-64 Years,Unknown Clock Start,9550
2021-11-28T00:00:00.000Z,Age,19-64 Years,01 To 18 Weeks,1862670
2021-11-28T00:00:00.000Z,Age,19-64 Years,18 To 52 Weeks,979635
2021-11-28T00:00:00.000Z,Age,19-64 Years,Over 52 Weeks,180005
2021-11-28T00:00:00.000Z,Age,19-64 Years,Total,3031860
2021-11-28T00:00:00.000Z,Age,Over 65 Years,Unknown Clock Start,5525
2021-11-28T00:00:00.000Z,Age,Over 65 Years,01 To 18 Weeks,1177140
